市区町村コード,Level1_Name,Level2_Name,都道府県,市区町村,市区町村詳細,緯度,経度
29453,奈良県吉野郡,奈良県吉野郡東吉野村,奈良県,吉野郡,東吉野村,34.403582,135.968365
30201,和歌山県和歌山市,和歌山県和歌山市,和歌山県,和歌山市,NA,34.230511,135.170808
30202,和歌山県海南市,和歌山県海南市,和歌山県,海南市,NA,34.155336,135.209223
30203,和歌山県橋本市,和歌山県橋本市,和歌山県,橋本市,NA,34.315053,135.605296
30204,和歌山県有田市,和歌山県有田市,和歌山県,有田市,NA,34.083095,135.127635
30205,和歌山県御坊市,和歌山県御坊市,和歌山県,御坊市,NA,33.891492,135.152346
30206,和歌山県田辺市,和歌山県田辺市,和歌山県,田辺市,NA,33.728034,135.377768
30207,和歌山県新宮市,和歌山県新宮市,和歌山県,新宮市,NA,33.724108,135.992955
30208,和歌山県紀の川市,和歌山県紀の川市,和歌山県,紀の川市,NA,34.26986,135.362757
30209,和歌山県岩出市,和歌山県岩出市,和歌山県,岩出市,NA,34.256295,135.311323
30304,和歌山県海草郡,和歌山県海草郡紀美野町,和歌山県,海草郡,紀美野町,34.167225,135.307489
30341,和歌山県伊都郡,和歌山県伊都郡かつらぎ町,和歌山県,伊都郡,かつらぎ町,34.296396,135.503836
30343,和歌山県伊都郡,和歌山県伊都郡九度山町,和歌山県,伊都郡,九度山町,34.287169,135.562245
30344,和歌山県伊都郡,和歌山県伊都郡高野町,和歌山県,伊都郡,高野町,34.216069,135.586536
30361,和歌山県有田郡,和歌山県有田郡湯浅町,和歌山県,有田郡,湯浅町,34.029394,135.190452
30362,和歌山県有田郡,和歌山県有田郡広川町,和歌山県,有田郡,広川町,34.030032,135.172993
30366,和歌山県有田郡,和歌山県有田郡有田川町,和歌山県,有田郡,有田川町,34.065322,135.254432
30381,和歌山県日高郡,和歌山県日高郡美浜町,和歌山県,日高郡,美浜町,33.893756,135.133101
30382,和歌山県日高郡,和歌山県日高郡日高町,和歌山県,日高郡,日高町,33.92573,135.140883
30383,和歌山県日高郡,和歌山県日高郡由良町,和歌山県,日高郡,由良町,33.959223,135.118349
30390,和歌山県日高郡,和歌山県日高郡印南町,和歌山県,日高郡,印南町,33.818367,135.218247
30391,和歌山県日高郡,和歌山県日高郡みなべ町,和歌山県,日高郡,みなべ町,33.772324,135.321442
30392,和歌山県日高郡,和歌山県日高郡日高川町,和歌山県,日高郡,日高川町,33.911783,135.185875
30401,和歌山県西牟婁郡,和歌山県西牟婁郡白浜町,和歌山県,西牟婁郡,白浜町,33.678165,135.348134
30404,和歌山県西牟婁郡,和歌山県西牟婁郡上富田町,和歌山県,西牟婁郡,上富田町,33.696366,135.42883
